
2025/04/19 (15:53:16) | ===> btop++ v.1.4.0
2025/04/19 (15:53:16) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/19 (15:54:35) | ===> btop++ v.1.4.0
2025/04/19 (15:54:35) | WARNING: Intel GPU: Failed to initialize PMU
2025/04/19 (15:54:59) | WARNING: Failed to join _runner thread on exit!

2025/04/20 (20:50:50) | ===> btop++ v.1.4.0
2025/04/20 (20:50:50) | WARNING: Intel GPU: Failed to initialize PMU
2025/04/20 (20:51:02) | WARNING: Failed to join _runner thread on exit!

2025/04/20 (21:52:43) | ===> btop++ v.1.4.0
2025/04/20 (21:52:43) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/21 (13:57:15) | ===> btop++ v.1.4.0
2025/04/21 (13:57:15) | WARNING: Intel GPU: Failed to initialize PMU
2025/04/21 (14:31:19) | WARNING: Failed to join _runner thread on exit!

2025/04/21 (14:31:20) | ===> btop++ v.1.4.0
2025/04/21 (14:31:20) | WARNING: Intel GPU: Failed to initialize PMU
2025/04/21 (14:31:21) | WARNING: Failed to join _runner thread on exit!

2025/04/21 (14:32:29) | ===> btop++ v.1.4.0
2025/04/21 (14:32:29) | WARNING: Intel GPU: Failed to initialize PMU
2025/04/21 (15:13:45) | WARNING: Failed to join _runner thread on exit!

2025/04/22 (16:27:08) | ===> btop++ v.1.4.0
2025/04/22 (16:27:08) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/23 (09:16:57) | ===> btop++ v.1.4.0
2025/04/23 (09:16:57) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/23 (12:49:47) | ===> btop++ v.1.4.0
2025/04/23 (12:49:47) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/24 (07:49:07) | ===> btop++ v.1.4.0
2025/04/24 (07:49:07) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/26 (09:38:03) | ===> btop++ v.1.4.0
2025/04/26 (09:38:03) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/26 (10:54:43) | ===> btop++ v.1.4.0
2025/04/26 (10:54:43) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/26 (21:49:55) | ===> btop++ v.1.4.0
2025/04/26 (21:49:55) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/26 (21:52:52) | ===> btop++ v.1.4.0
2025/04/26 (21:52:52) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/27 (09:00:48) | ===> btop++ v.1.4.0
2025/04/27 (09:00:48) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/27 (12:44:11) | ===> btop++ v.1.4.0
2025/04/27 (12:44:11) | WARNING: Intel GPU: Failed to initialize PMU
